115,"['848a94', '90d2e9', 'c43672', 'c4c1cd', 'e9b594', 'f7eeeb']","[3.6504, 0.9828, 1.8876, 1.1076, 2.3712, 1.5912, 2.0904, 1.8876, 1.1232, 2.3556]"
116,"['858a9b', '95cfe5', 'c43772', 'e0b495', 'f2e4e0', 'f9fcfd']","[2.7612, 5.7253, 1.3104, 1.4664, 2.1372, 0.9828, 3.2916, 1.8096, 0.9672, 2.1372]"
117,"['848a99', '8dd0e8', 'c33772', 'c7d0db', 'e4b494', 'f9efeb']","[1.6536, 1.1388, 4.8673, 1.3104, 2.6208, 1.638, 0.9672, 2.1216, 1.4664, 1.6224]"
118,"['808695', '90d2e9', 'c3c0cd', 'c53773', 'e5b490', 'f6eeeb']","[1.8252, 1.6692, 1.17, 2.3244, 1.17, 3.0108, 1.5132, 4.6644, 0.8268, 0.858]"
119,"['86355e', '8a919c', '96cfe5', 'd73b7b', 'e4b89e', 'f5edeb']","[1.17, 1.1856, 3.6816, 1.3572, 1.5132, 1.5288, 3.51, 3.3696, 2.496, 1.6848]"
120,"['838993', '90d2e9', 'c4c1ce', 'c73773', 'e8b594', 'f6eeeb']","[2.5584, 1.5288, 1.014, 2.2308, 1.5444, 2.8704, 0.858, 1.872, 3.4008, 2.5428]"
121,"['7a4660', '8d92a4', '96cfe6', 'd5397a', 'e4b79c', 'f5edeb']","[4.1496, 3.7596, 2.0592, 4.4616, 1.716, 0.6864, 1.716, 1.9032, 1.56, 1.0296]"
122,"['859160', '8c8eae', '95d0e6', 'c63773', 'e3b9a2', 'f5edeb']","[2.496, 1.5912, 1.2168, 1.4196, 2.2932, 1.0764, 2.652, 3.0264, 2.4648, 1.4352]"
123,"['868c96', '96cee5', 'c43772', 'e2b498', 'f3f8fb', 'f6e4dd']","[1.6224, 2.1372, 1.95, 2.9016, 4.6488, 3.0264, 1.4664, 2.3089, 1.4196, 4.6488]"
124,"['848f61', '8c8eae', '95d0e6', 'c63673', 'e4b8a1', 'f5edeb']","[1.1232, 2.1685, 2.184, 3.1044, 2.0436, 1.092, 1.9812, 1.4508, 1.5132, 3.6504]"
125,"['8fc8e1', 'aa4c7a', 'd1dbe6', 'd9b190', 'fafcfd', 'fbe6dd']","[2.4024, 2.7924, 1.8408, 1.3416, 1.1232, 4.4772, 4.7892, 2.964, 2.9952, 1.4976]"
126,"['727787', '8cd1e9', 'b5b1c2', 'c53170', 'eab68c', 'f8efec']","[3.198, 1.2636, 1.3884, 4.4616, 5.0544, 6.3805, 2.9796, 7.8313, 2.964, 2.3556]"
127,"['713657', '83899a', '90cfe7', 'd83579', 'e3b795', 'f8efec']","[2.3713, 4.446, 3.4164, 4.2588, 4.6488, 6.7861, 1.5132, 4.1808, 3.5568, 2.9796]"
128,"['6b455f', '8d929d', '8fd0e8', 'd73479', 'e6b99c', 'f8efec']","[1.326, 3.6348, 1.716, 5.8189, 4.7736, 7.5037, 7.4569, 6.4585, 2.1372, 8.8141]"
129,"['757b8d', '8fcee6', 'c3326f', 'ddb394', 'f5e6e1', 'fcfcfd']","[2.418, 4.7892, 3.0732, 2.5896, 4.5708, 2.1684, 3.042, 4.758, 2.5896, 0.858]"
130,"['7a7e90', '8ccee7', 'c4316f', 'd6dde9', 'e0b594', 'fcf1ec']","[1.7472, 2.2152, 7.2541, 1.9812, 2.1996, 1.326, 2.2152, 2.4648, 5.2572, 2.0436]"
131,"['7b7f90', '8fcee7', 'c3326f', 'ddb493', 'f6e5e0', 'fafcfd']","[2.4336, 1.9968, 1.326, 5.226, 2.8548, 3.3072, 3.4944, 3.51, 3.51, 2.418]"
132,"['8bcae4', '9f4a77', 'd4af91', 'd6deeb', 'fce7dd', 'fcfdfd']","[8.3617, 5.1793, 3.3696, 1.1232, 7.8625, 1.3572, 1.7784, 5.1792, 2.4648, 4.9452]"
133,"['835676', '8bcae3', 'd1d8e5', 'df8a86', 'fbfcfd', 'fce7dd']","[8.5021, 4.5708, 4.1496, 2.0904, 7.1293, 5.0388, 1.9032, 2.2932, 4.1652, 2.496]"
134,"['747b90', '8fcee7', 'c4326f', 'dab393', 'f6e5e0', 'fafcfd']","[1.8096, 1.5912, 4.0872, 7.3165, 7.2541, 2.964, 2.73, 6.5677, 3.9156, 6.8019]"
135,"['6e4e64', '8fd0e8', '9297a4', 'd73478', 'eab998', 'f8efec']","[2.886, 2.5584, 2.4024, 4.5552, 11.9341, 8.5645, 5.4289, 6.1153, 7.5661, 10.6081]"
136,"['6d6f7e', '8dd1e9', 'aaa9bb', 'c63171', 'eab88f', 'f8efec']","[5.2728, 6.0061, 2.4492, 1.9188, 3.1356, 2.1528, 4.3212, 1.9032, 4.0872, 3.3852]"
137,"['8bcbe4', '9e4a77', 'd2af92', 'd8dfec', 'fce7dd', 'fdfdfd']","[1.9032, 3.5724, 1.6536, 11.4661, 3.8064, 4.29, 2.8704, 1.17, 10.2649, 1.9344]"
138,"['787e92', '8fcee6', 'c3326f', 'dcb391', 'f7f9fb', 'f8e5de']","[4.0872, 4.1028, 6.1777, 4.7736, 1.9032, 3.1044, 3.1044, 5.4913, 3.3228, 5.7252]"
